D0370599;Flagship Chrysler;31;2.8;Bayamon;960.0;-66.1582;18.3988;True
D0389227;Land Rover San Juan;61;3.0;San Juan;922.0;-66.0785;18.4439;True
D0314501;Atlantic Chevrolet Cadillac;222;3.4477611940298507;Bay Shore;11706.0;-73.2587;40.7333;True
D0062178;Eastchester Chrysler Jeep Dodge Ram;103;2.7995640974836533;Bronx;10466.0;-73.8317;40.8847;True
D0432605;Dream Car Gallery;65;2.963636363636364;Woodbury;11797.0;-73.4643;40.8168;False
D0381819;Auto Legend;30;4.666666666666667;Linden;7036.0;-74.2532;40.6446;False
D0060510;Gengras Chrysler Dodge Jeep Ram;231;4.377777777777778;East Hartford;6108.0;-72.6545;41.7696;True
D0339626;Generation Kia;300;3.647058823529412;Bohemia;11716.0;-73.1055;40.7589;True
D0351457;Magic Auto Sales;187;3.577777777777778;Little Ferry;7643.0;-74.0493;40.8558;False
D0293986;Autoworld Kia;97;3.555555555555556;East Meadow;11554.0;-73.5319;40.7604;True
D0430595;CRS 1 LLC;40;4.916666666666667;Lakewood;8701.0;-74.1737;40.0825;False
D0282634;European Masters;179;3.3461538461538463;Great Neck;11021.0;-73.7268;40.7774;False
D0379817;Auto Store;21;4.764705882352941;West Hartford;6110.0;-72.722;41.7359;False
D0409159;CarTopia;102;4.418604651162791;North Plainfield;7060.0;-74.4454;40.6229;False
D0287493;Thrifty Car Sales Springfield;74;3.5;Springfield;1119.0;-72.5108;42.1275;False
D0415147;Great Deal Motors LLC;4;4.375;Copiague;11726.0;-73.3953;40.6685;False
D0064269;Mazda of Lodi;215;3.8;Lodi;7644.0;-74.0758;40.8775;True
D0311125;New Country Audi of Greenwich;63;4.441176470588236;Greenwich;6830.0;-73.6323;41.0265;True
D0306180;Tower Auto Mall;36;4.714285714285714;Long Island City;11101.0;-73.9345;40.7457;False
D0289531;Jersey Motors;93;4.343283582089552;Teterboro;7608.0;-74.0677;40.8528;False
